"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-10-31,"Boyd County","KY","Huntington-Ashland",872,1052,0.000951474785918173,0.0193798449612403,0.131182795698925,14313
2018-10-31,"Henry County","IN","New Castle",873,794,0.00126103404791929,-0.00625782227784731,-0.0269607843137255,18344
2018-10-31,"Shelby County","OH","Sidney",874,1041,0.000961538461538462,0,-0.044954128440367,13387
2018-10-31,"Columbia County","OR","Portland-Vancouver-Hillsboro",875,1533,-0.00130293159609121,-0.000651890482398957,0.00656598818122127,10763
2018-10-31,"Cortland County","NY","Cortland",876,1379,0.00877834674469642,0.0162122328666175,0.0283370618941089,12219
2018-10-31,"Franklin County","KY","Frankfort",877,997,0.0040281973816717,0.00707070707070707,-0.0244618395303327,17636
2018-10-31,"Clinton County","IA","Clinton",878,938,0.00320855614973262,0.0075187969924812,-0.0239334027055151,18434
2018-10-31,"Calumet County","WI","Appleton",879,1044,0,-0.00476644423260248,-0.0752878653675819,13094
2018-10-31,"Harrisonburg City","VA","Harrisonburg",880,1035,0.00583090379008746,-0.00192864030858245,-0.0848806366047745,11384
2018-10-31,"Elko County","NV","Elko",881,1350,0.00521221146686523,0.00446428571428571,-0.0472829922371207,8968
2018-10-31,"Warren County","MS","Vicksburg",882,1109,0.00635208711433757,0.00909918107370337,-0.0254833040421793,12529
2018-10-31,"Jessamine County","KY","Lexington-Fayette",883,1140,0,0,0.216648879402348,29991
2018-10-31,"Loudon County","TN","Knoxville",884,1119,-0.00709849157054126,-0.0192813321647677,-0.0353448275862069,31537
2018-10-31,"Newaygo County","MI",,885,924,0.00325732899022801,-0.00215982721382289,-0.00645161290322581,25847
2018-10-31,"Laurens County","GA","Dublin",886,943,0.00212539851222104,0,0.00855614973262032,13854
2018-10-31,"Delaware County","NY",,887,1417,0.00141342756183746,0.00354107648725213,-0.000705218617771509,17052
2018-10-31,"Carroll County","NH",,888,1555,0.00193298969072165,0.00257898130238556,0.12844702467344,40557
2018-10-31,"Queen Annes County","MD","Baltimore-Columbia-Towson",889,1877,0.00913978494623656,0.0151433207138994,0.0616515837104072,24699
2018-10-31,"Macoupin County","IL","St. Louis",890,920,0.00108813928182807,-0.00862068965517241,-0.0900098911968348,18575
2018-10-31,"Beaufort County","NC","Washington",891,995,0.00505050505050505,0.00606673407482305,-0.0030060120240481,5862
2018-10-31,"Carter County","OK","Ardmore",892,871,-0.00684150513112885,-0.0102272727272727,0.0596107055961071,20481
2018-10-31,"Noble County","IN","Kendallville",893,1012,0.000989119683481701,-0.00881488736532811,-0.04438149197356,14720
2018-10-31,"Osage County","OK","Tulsa",894,909,0.00441988950276243,0.00110132158590308,-0.0298826040554963,16260
2018-10-31,"Santa Cruz County","AZ","Nogales",895,1143,0.00351185250219491,0.00263157894736842,0.032520325203252,13543
2018-10-31,"Stokes County","NC","Winston-Salem",896,1072,-0.000931966449207828,-0.00556586270871985,0.0075187969924812,11769
2018-10-31,"Lafayette County","MS","Oxford",897,1434,-0.00416666666666667,-0.00416666666666667,0.0163004961020553,13582
2018-10-31,"Scott County","KY","Lexington-Fayette",898,1336,-0.00298507462686567,-0.00298507462686567,0.0128885519332828,14807
2018-10-31,"Marshall County","IN","Plymouth",899,1090,-0.000916590284142988,-0.00728597449908925,-0.0388007054673721,15266
2018-10-31,"Douglas County","NV","Gardnerville Ranchos",900,1803,0.00222345747637576,-0.00496688741721854,-0.0763319672131147,20541
2018-10-31,"Cherokee County","OK","Tahlequah",901,859,-0.00116279069767442,-0.00922722029988466,-0.0348314606741573,15475
2018-10-31,"Hoke County","NC","Fayetteville",902,1005,0.00600600600600601,0.00600600600600601,-0.0166340508806262,13130
2018-10-31,"Fremont County","CO","Ca±on City",903,1202,0.00250208507089241,0.00333889816360601,0.0452173913043478,15734
2018-10-31,"Lincoln Parish","LA","Ruston",904,1194,0.00167785234899329,-0.00333889816360601,-0.0995475113122172,8590
