RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
12292,Lakewood,California,366,432700,426600,422900,413100,410500,400800,399400,397200,405900,404600,392800,374400,366800,370500,373100,375200,382300,387600,394e3,390800,394e3,395300,402e3,402100,400500,396900,398300,398900,390700,382600,376800,379800,377800,372800,364700,350600,349500,347100,354e3,346e3,348600,347300,351100,344e3,343600,344700,347900,338700,33e4,334600,344100,351300,346900,351900,359e3,365500,367500,365700,371500,369e3,383300,392e3,407900,413e3,414100,416800,421100,428800,435e3,432900,432700,437400,435100,436100,432100,437200,439800,445100,45e4,449900,447200,445e3,447300,453800,464400,466300,469400,469700,478800,482800,485800,488400,487e3,493400,502e3,498200,493100,494500,509100,515900,509800,507e3,509800,513200,524800,530500,537600,532e3,535400,534300,537800,535800,541200,545500,542700,539600,542200,551700,554700,556300,563300,567900,576100,574300,581300,577100,581400,575100
12864,Mount Pleasant,South Carolina,367,307500,292600,292300,287600,297500,290300,285600,280300,276200,285400,294300,282300,285300,282400,295300,298700,311300,320600,305300,279500,268600,275400,290800,308300,330800,317200,301200,273e3,293700,306400,328400,327800,327e3,305200,304900,296800,306500,286700,284600,292200,295600,308800,295600,293500,285500,309400,309100,306800,287700,289900,304600,312900,319500,314500,304600,304500,296e3,304600,305800,304500,314300,315600,318500,308800,315600,336900,341100,342100,332700,334800,336700,344800,351300,360700,353700,348600,343100,344600,347700,347e3,346100,342200,345600,341100,344900,346600,359600,354e3,355900,356600,369600,371900,361800,360900,364e3,374200,374300,368300,383800,383100,385400,371500,370500,375500,379700,387300,382300,383300,373600,379300,388e3,401500,402500,393400,387100,397300,397300,417400,411e3,441400,441100,445900,429800,419900,43e4,420700,432300,
53812,Parma,Ohio,368,106200,114200,109900,107600,103500,103400,107200,102200,98e3,93200,88500,91800,84600,90100,89100,93800,92900,94400,1e5,101e3,101200,102800,105600,105900,104700,107300,101900,99e3,93900,95900,96100,89600,89900,89500,91600,86200,75600,76100,72900,77300,75100,76400,75200,75100,79200,77800,74800,68200,69500,73e3,80800,83200,84700,78800,78800,77e3,77900,78500,73600,79500,79100,86100,79100,80800,79500,81800,81100,81400,82400,83100,79e3,81800,78400,82700,79600,84200,85500,87200,84700,84400,85400,85300,90800,9e4,93200,86700,88300,83400,85200,85e3,92100,93700,93400,91900,91200,92e3,92600,98800,100500,101500,98500,99300,100200,100200,100800,103300,105400,102200,102200,102500,107500,105900,105600,106400,109600,110100,110300,107500,106700,110300,113600,118900,118400,116400,114e3,112200,116600,
10528,Brandon,Florida,369,183900,177400,168900,16e4,157300,156600,151300,140500,132500,137700,137600,135700,127400,122100,122300,117600,119300,117700,120400,125900,125e3,120300,116400,118800,123900,122500,120100,118800,114200,112800,101900,101200,96e3,94800,95e3,91600,98800,92900,97700,94600,96100,97400,107800,113200,117300,114700,114500,105600,103400,98700,100100,99500,105600,110100,107900,113600,118600,125e3,120800,111800,110500,113100,121800,122500,121700,125700,130600,130700,128700,126700,131e3,131400,130900,132800,134200,137300,135900,136600,136300,135500,137200,139e3,138400,136800,140700,143700,150200,147900,151700,148100,151200,155500,158300,160300,159300,163700,163500,161400,158e3,162e3,161800,163900,164800,169800,171100,171900,172500,174900,179100,178900,177600,177600,182e3,185200,180500,186400,192100,195700,193900,193900,196600,196100,192600,188900,187200,191200,197600,
24245,Covina,California,370,414400,398400,395e3,388300,374100,349800,345500,355400,359e3,356800,349300,339700,329700,311700,302800,288100,286e3,290400,314e3,320600,333400,334600,334400,327600,322400,331900,337600,332600,333100,323800,327800,334100,351900,346100,324900,298900,300800,305700,315600,298500,294e3,286600,291700,294500,299600,301600,290100,280800,290800,303700,302200,287600,285900,289500,299600,302e3,316300,319900,329200,332300,341300,343500,356600,364200,374700,372300,369800,377900,378300,379e3,362300,374e3,383800,393600,385600,395e3,393200,404200,396200,401800,411400,417800,428e3,417200,414100,417100,416700,412100,411200,413200,421700,418e3,423900,433700,434500,445e3,441e3,445800,438e3,433500,438100,439300,453e3,455300,457700,454500,464400,465500,474600,471700,486900,493600,492300,495700,502300,514900,514700,509900,508900,524200,529e3,540600,528800,523400,511600,511400,524200,537100
24965,Greer,South Carolina,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124500,134700,139300,143900,141800,137100,138900,146800,142600,139600,136500,140900,145700,144900,147700,152900,148500,149300,140700,149800,168600,172800,167400,160500,160800,164200,156e3,156900,155200,154600,154100,155700,156800,156200,159200,165100,162900,161800,156600,159900,158700,160400,156200,169100,154100,157800,141600,153200,156200,160500,166e3,167200,173500,176300,178100,175100,176200,177700,182200,182200,182800,181600,182200,181300,183700,187900,193600,196700,197100,203300,202100,203300,203500,202700,204200,197100,195500,188e3,187500,192400,186700,201e3,198800,212e3,201700,198300,199600,196100,195900,187200,
27512,Upland,California,372,469600,477500,474100,446400,438e3,426200,426700,405700,380200,365900,351800,338100,333600,350100,346900,360800,342e3,372800,347e3,355800,345200,353700,351200,346900,369e3,374900,368300,349600,345600,357300,345600,348700,338e3,336700,325200,347e3,371800,369e3,347300,336400,347400,347400,342200,328600,318500,300300,296800,307800,332800,345100,346e3,352200,361500,366200,356900,349200,362600,365100,373900,373300,382600,404e3,404700,409100,388900,387300,399900,421400,426200,432200,419900,456300,449800,455800,433400,426200,430500,452100,467e3,465e3,437100,431e3,438400,433700,447500,456300,458600,459200,464300,471500,472200,478400,481100,454600,458200,462600,503300,473400,472e3,468500,496200,502500,486900,468e3,473100,482e3,504800,507300,501200,494700,493900,513300,518400,529600,526900,522300,520200,521300,539900,536100,56e4,566e3,560700,541600,525600,554600,547100,542900
24359,Deltona,Florida,373,145600,141800,140900,137e3,132500,126600,126100,120900,119100,109900,104500,98500,9e4,82200,76500,75800,77800,79900,82300,87400,85100,84100,78500,77800,79800,82300,83100,80600,76600,72800,68700,70500,70100,70100,64700,61500,59600,61e3,63e3,63900,63900,61300,6e4,62e3,65100,67300,66400,66600,65700,67500,69e3,71200,70700,68400,68200,69400,71e3,73300,79100,82800,85e3,80300,80100,80100,78600,80200,82e3,86800,88500,89300,89800,90700,90700,92700,90400,87600,86400,87300,91600,91100,92200,91500,91800,93300,95100,104500,106700,109700,105100,105900,106e3,106900,108100,111100,114300,115200,120800,122800,127500,125200,125400,126700,128500,133400,134700,136200,136100,136200,137800,137400,140100,140900,143300,145300,146100,151100,155e3,160100,159700,157500,157400,159800,165900,165500,163200,159900,160100,
5621,Lexington,North Carolina,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103100,105200,106400,117500,115800,122e3,102100,119600,115600,120400,106300,100900,102600,102700,114500,119400,125200,115700,119900,114e3,121e3,117100,119100,123900,122200,126400,124400,126800,122900,135900,142e3,152600,147100,145400,136900,131800,128e3,124300,123500,122800,117700,116600,118200,126100,124500,119500,121200,130700,134800,137400,125900,130800,121400,128700,114700,127300,122e3,141600,143900,153200,149800,
10723,Carson,California,375,416400,410800,409500,403900,386100,361400,349500,343300,325e3,325600,325e3,330700,311300,302100,300200,293200,283400,276900,278800,278e3,285700,302500,301100,302700,295900,303100,308700,317500,321200,317900,311300,309400,305600,306100,299800,295200,286e3,290300,281800,279700,285100,288600,289200,275200,281200,284400,292400,290500,287100,284500,274900,274300,272200,278600,274e3,275700,284700,296e3,310500,307600,311300,318500,332500,340200,343300,345200,352400,354500,358700,361600,356400,361300,368100,374e3,373600,355100,361400,360500,367700,367500,371300,381800,386600,395900,407500,415900,417700,419500,413800,420500,413600,421200,413800,415400,415400,423700,431100,420100,415700,420900,434900,441700,444600,449700,460300,468e3,478200,466100,453600,446800,457e3,463200,471500,474400,490500,487600,487900,485e3,494500,491200,488100,495e3,502100,520800,524800,545300,544100,538800
