"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-10-31,271503,"Northeast","TX","El Paso","El Paso County","El Paso",45,101100,0.00797607178464606,0.0212121212121212,0.0401234567901235,,,"2007-11","2007-Q4",101400,-0.0029585798816568,"2007-10"
2018-10-31,403223,"Elmhurst","NY","New York-Newark-Jersey City","Queens County","New York",46,571500,-0.00192106182326231,0.00545390570021112,0.0881568926123382,,,"2018-08","2018-Q3",573100,-0.00279183388588379,"2018-08"
2018-10-31,273527,"East","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",47,154900,0.00780741704619388,0.0231175693527081,0.178843226788432,,,"2018-10","2018-Q4",154900,0,"2018-10"
2018-10-31,268236,"Koreatown","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",48,622700,0.00646516890253758,0.0135091145833333,0.0467305429483947,,,"2018-10","2018-Q4",622700,0,"2018-10"
2018-10-31,276023,"Westlake","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",49,653100,0.0100525827404887,0.0238281862360872,0.0701294445354744,,,"2018-10","2018-Q4",653100,0,"2018-10"
2018-10-31,275454,"South Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Scottsdale",50,347400,0.00929692039511912,0.02963841138115,0.0897114178168131,,,"2018-10","2018-Q4",347400,0,"2018-10"
2018-10-31,276215,"Blossom Valley","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",51,1023400,0.0010760050865695,-0.00165837479270315,0.143335940118423,,,"2018-07","2018-Q3",1025100,-0.00165837479270315,"2018-06"
2018-10-31,276476,"North Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Long Beach",52,459600,0.00546926274338219,0.0101098901098901,0.0572808833678399,,,"2006-08","2006-Q3",460300,-0.00152074733869216,"2006-07"
2018-10-31,403131,"Sheepshead Bay","NY","New York-Newark-Jersey City","Kings County","New York",53,792200,0.00418303967549753,0.0102014792144861,0.0722793719545208,,,"2018-10","2018-Q4",792200,0,"2018-10"
2018-10-31,343217,"South Bronx","NY","New York-Newark-Jersey City","Bronx County","New York",54,420200,0.0100961538461538,0.05023744063984,0.325970337645945,,,"2018-10","2018-Q4",420200,0,"2018-10"
2018-10-31,343205,"Soundview","NY","New York-Newark-Jersey City","Bronx County","New York",55,404000,0,0.0189155107187894,0.113868210642404,,,"2018-10","2018-Q4",404000,0,"2018-10"
2018-10-31,118987,"Willow Glen","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",56,1372000,0.000437509114773224,0.000364564345607,0.146581982283136,,,"2018-10","2018-Q4",1372000,0,"2018-10"
2018-10-31,275467,"Southeast","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",57,202700,0.00645481628599801,0.0155310621242485,0.0909580193756728,,,"2018-10","2018-Q4",202700,0,"2018-10"
2018-10-31,271511,"Northwest","TX","El Paso","El Paso County","El Paso",58,204500,0.007885657959586,0.016907011437096,0.0503338469440164,,,"2018-10","2018-Q4",204500,0,"2018-10"
2018-10-31,193640,"Canarsie","NY","New York-Newark-Jersey City","Kings County","New York",59,474300,0.0195614789337919,0.0310869565217391,0.103536528617962,,,"2018-10","2018-Q4",474300,0,"2018-10"
2018-10-31,41466,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",60,581400,0.00397168019340356,0.0216130732735899,0.0732877976739893,,,"2018-10","2018-Q4",581400,0,"2018-10"
2018-10-31,273480,"Downtown","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",61,935900,0.00429230604142075,0.0160677450873955,0.198182050953783,,,"2018-10","2018-Q4",935900,0,"2018-10"
