RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
4,Alabama,23,126500,128100,124200,124200,120600,120100,116100,114600,112200,113300,113300,116400,116300,114900,113600,114600,117200,115500,114200,112600,115100,117500,120700,119400,118900,116200,114500,111800,107800,105500,103400,104200,106200,108900,110100,110300,106300,105e3,103900,107e3,107400,109300,108500,109100,108500,110300,108600,107600,105e3,105300,107600,109600,112800,113200,115500,115800,115100,115200,117e3,117700,116300,113e3,113e3,115700,12e4,121600,121800,121500,121400,123400,124200,125600,123300,121700,119800,119500,12e4,123200,124200,125500,126300,126200,126100,126e3,128700,130600,131200,129800,128400,125900,125400,124900,125300,126900,128300,130100,130800,133200,136300,138500,138800,137700,136200,137100,138200,138500,137500,137e3,137700,138100,138400,137700,138100,138800,141100,142800,144e3,147e3,151100,159400,162400,162300,157100,154e3,151400,148400,149300,
51,South Carolina,24,140200,141200,138300,137e3,136800,136900,135600,132500,130600,128800,127900,127800,129700,130900,128800,127600,128600,132500,132e3,131200,129900,131400,132e3,131600,132300,134200,133100,129900,126200,126300,128200,129600,131300,130100,128900,127800,127600,126600,124e3,123900,127200,129600,128400,125600,123300,123700,125e3,125500,125800,124600,125900,127700,129900,131100,131900,129900,13e4,130500,133300,135e3,134900,136e3,136600,137600,138100,139300,139400,138900,138600,138400,137e3,136300,136700,139600,142e3,145300,145900,145800,145600,147300,149300,151300,148700,150300,151500,155800,154700,155300,157900,160600,161600,162300,160900,163100,163900,168800,168400,168400,167700,167600,167400,167500,167700,168100,167500,166800,167e3,167500,168800,169100,167500,166400,166200,168e3,169200,169600,170200,172200,175200,179800,182300,183800,180800,178900,175800,175200,174800,
25,Louisiana,25,139300,136500,138e3,138100,140900,141200,138800,138300,135400,135200,135500,141300,144300,143800,141e3,141700,143300,143500,143700,144e3,147400,145400,145e3,142500,142300,140700,140300,141700,139800,137900,136300,140100,143e3,145700,145400,143900,138800,134800,133e3,136100,136600,138800,137200,138e3,137200,135900,135300,134200,133900,135500,137300,140500,141200,142100,144700,147300,148500,145700,145800,146300,15e4,150600,150800,148900,149100,149500,150800,150900,150500,151200,150500,151100,152500,152200,151900,152100,153e3,154700,155400,156600,158e3,158500,160500,163800,164300,165200,163400,164500,164500,163300,163200,163500,164100,165900,167100,169600,169400,169500,168700,168700,168700,168200,168700,169100,169800,168600,168500,167500,167e3,165500,166100,166400,167600,168900,169600,170100,169500,170200,173700,176200,175500,173300,171200,172900,171300,171600,169900,
24,Kentucky,26,114500,113e3,112300,112e3,110900,111200,109500,109200,103900,102900,101300,104300,103900,105600,105900,108300,109500,111500,111600,113700,115100,115700,114300,111200,112300,113500,115700,115100,112400,110800,109400,108300,110400,114700,117600,117100,113500,113200,111700,112e3,112300,112600,111700,111e3,111900,112300,113300,111400,113100,113800,116900,117e3,117300,116900,118500,119700,120200,119e3,117100,116e3,115900,116300,117400,117700,118600,119300,120300,121e3,121200,119600,116900,114600,114400,117200,120800,123700,125200,125400,125500,125700,126500,127900,128800,131700,133500,135800,135400,136800,135200,135700,135400,138400,139200,142300,143400,143900,141500,140800,141100,141700,142400,143200,143600,143900,144300,145300,146e3,146900,146300,147e3,146100,147300,147500,148400,149900,152400,154300,155200,154600,155800,153800,152900,150400,150500,150500,151e3,151600,
46,Oregon,27,255300,249200,243700,241700,241600,240300,235600,234900,231800,230700,229700,232500,231200,225e3,216200,213500,212600,213500,211400,211100,211100,212900,213200,212300,212300,210200,207300,203100,203100,204300,205e3,203400,202600,200700,197300,191800,188100,183800,182e3,181500,184800,188e3,189200,189500,193e3,191800,191900,187900,188500,188100,189300,195e3,199400,203e3,204600,206900,210100,208500,210500,209300,214700,217500,224300,227600,23e4,230400,232500,234600,236500,235800,234800,234900,235200,235700,235400,236700,238200,240400,241200,242500,242200,242300,243900,245400,248800,250200,252200,253100,253500,253500,253200,254100,255700,259200,262100,264200,266200,268300,270600,271700,270700,273700,277e3,281400,284200,286600,290400,292800,294200,295e3,295300,296200,298300,3e5,301900,302900,307600,311900,320200,326500,329900,328e3,323300,323800,324e3,326300,325100,329300
45,Oklahoma,28,96700,98700,98900,102400,103100,103900,101e3,101100,98600,96300,92500,95300,100500,104200,104200,105100,106800,106900,105100,104600,105400,104200,102700,101800,103800,108500,109400,109500,104500,102100,101400,101600,103700,102800,104e3,104900,104e3,103600,103300,104100,106800,107600,109400,109300,107900,109500,107e3,108300,108100,112100,114e3,113300,112700,113400,116400,117700,118500,117500,118400,118200,119600,120500,121e3,120900,121e3,122100,123400,124100,124400,125e3,122600,122e3,122600,125800,127e3,126800,127800,128700,129400,129500,13e4,130500,128100,127900,128300,130400,130500,130600,131300,131800,132300,131800,131300,131200,132700,134100,134100,133e3,132200,132900,132900,132e3,131500,132100,133100,132900,132300,133200,133300,135e3,135700,137e3,136800,136e3,134900,135200,135700,137600,136800,138600,138700,139100,138800,138600,138800,138500,139800,
11,Connecticut,29,265200,263600,253300,241100,235500,236300,237100,236600,235e3,233e3,230700,228600,229300,225700,220900,215900,215e3,215800,216800,219400,225500,230800,236800,240700,245900,243400,234100,225600,223200,230900,232600,238300,241100,247700,249500,245400,241e3,238600,235300,234500,227400,228e3,228200,226500,224600,219100,223200,222200,225200,227300,226500,226500,223700,223500,220200,220100,222900,225900,223100,218500,218e3,222600,227900,230100,230200,234700,233500,232900,229200,229300,229600,227400,222600,218900,219500,223100,226100,224900,223600,221900,225400,224500,223200,218600,220500,221300,221200,22e4,220900,220400,220900,22e4,219500,219300,219500,224100,224e3,224400,220800,222200,219400,220200,221200,224800,225800,226100,227400,229100,229800,229100,225500,225100,223900,227700,226500,231100,234300,238300,240400,242600,247e3,247900,241800,237500,233900,237600,236400,
19,Iowa,30,120700,123500,120400,117500,117100,116e3,115100,114300,112900,115200,114800,117e3,115700,116300,116200,116500,116900,115900,113800,114e3,114900,116900,116300,116800,118e3,119200,119500,117800,116e3,116400,118500,120400,120400,119300,118e3,117200,115500,115800,114500,116400,118100,120900,120600,122300,119600,120100,116900,118400,118700,119900,121500,122300,123700,123500,123800,123400,123700,125700,125900,128100,128600,130700,129300,130100,130400,130200,127900,127800,127800,126600,122600,122200,123100,124500,125e3,125500,127900,129600,132e3,133e3,133900,133100,133700,134100,138200,138900,139700,137500,137900,137700,137600,136600,136400,137800,141100,145400,144900,144500,142100,143e3,144200,143700,143e3,142e3,142800,145800,145900,146600,145800,146700,146800,146900,146900,147800,148700,152500,151600,150200,148500,155700,159800,159800,155800,155500,155800,155600,157300,
6,Arkansas,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116700,116700,114900,114800,114800,115400,116e3,119900,118900,120300,117300,120900,121900,125700,127300,126800,128700,129200,130300,128e3,130100,130400,132200,131e3,129600,128700,127600,129200,129200,128e3,126e3,124300,123100,122800,122200,123e3,122300,122800,122500,121600,121e3,122400,123900,126300,125400,130300,131300,133500,130900,130600,13e4,129300,129100,129200,129e3,129500,130700,131300,131700,130300,132300,132200,134600,134500,134800,134800,136500,136500,137300,137500,136800,136100,133700,135600,136500,137300,138e3,139300,141800,142600,142900,146500,147500,147400,143500,143100,142400,141500,140100,
23,Kansas,32,153600,154600,154100,141300,136800,134100,141700,144400,144500,144900,144300,146100,148900,152100,151500,147200,145300,145600,147700,148900,150400,149500,150700,150100,154800,155500,154500,148300,144400,143800,147900,150100,152900,153800,153100,149900,149900,149e3,149e3,144700,144500,144700,146e3,149300,149900,151900,151100,154200,155700,155700,152500,149600,149200,149600,147400,149100,149900,154900,154400,153900,155700,157300,158900,157800,155200,155400,154400,155400,154600,156700,157600,158300,156100,153900,153100,154100,156700,156800,157600,159200,160900,162100,161900,163500,166500,167400,167200,164e3,163100,162800,162700,161500,163200,161100,155800,146700,146300,149900,158600,160500,162600,160500,160100,160400,162200,163400,164800,165300,168e3,169100,170500,170800,172700,174e3,175600,172100,172400,173700,179200,180900,183500,181700,182e3,177400,177800,175300,191200,
